FGS	1	191	736	+
FGS	2	711	2636	+
FGS	3	2633	2839	+
FGS	4	2836	4437	+
FGS	5	4418	5737	+
FGS	6	5747	6079	+
FGS	7	6135	7160	+
FGS	8	7202	7600	+
FGS	9	7612	7965	+
FGS	10	7977	8555	+
FGS	11	8552	8947	+
FGS	12	8955	9695	+
FGS	13	9711	10133	+
FGS	14	10160	10549	+
FGS	15	10542	13103	+
FGS	16	13100	13429	+
FGS	17	13429	14127	+
FGS	18	14276	14875	+
FGS	19	15175	15444	+
FGS	20	15505	18903	+
FGS	21	18965	19585	+
FGS	22	19650	20855	+
FGS	23	21029	21973	+
FGS	24	21973	22557	+
FGS	25	22686	23945	-
FGS	26	24009	24206	+
FGS	27	24509	25399	-
FGS	28	25396	26973	-
FGS	29	27372	27533	+
FGS	30	27812	28882	-
FGS	31	29118	29285	-
FGS	32	29374	29655	-
FGS	33	29847	30395	-
FGS	34	31005	31196	-
FGS	35	31348	32028	-
FGS	36	32025	32810	-
FGS	37	32816	33112	-
FGS	38	33187	33456	-
FGS	39	33536	33904	-
FGS	40	34485	35036	+
FGS	41	35037	35360	-
FGS	42	35825	36259	-
FGS	43	36275	37114	-
FGS	44	37227	37940	-
FGS	45	38041	38241	+
FGS	46	38360	38653	+
FGS	47	38686	39585	+
FGS	48	39582	40283	+
FGS	49	40280	40570	+
FGS	50	40644	41084	+
FGS	51	41081	41953	+
FGS	52	41972	42169	+
FGS	53	42429	43043	+
FGS	54	43049	43204	-
FGS	55	43224	43889	+
FGS	56	43886	44509	+
FGS	57	45186	45509	+
FGS	58	45493	45969	+
FGS	59	45966	46427	+
FGS	60	46459	46752	-
FGS	61	47042	47494	-
FGS	62	47738	47944	+
FGS	63	48109	48303	-
glimmer	1	191	736	+
glimmer	2	711	2636	+
glimmer	3	2633	2839	+
glimmer	4	2836	4437	+
glimmer	5	4418	5737	+
glimmer	6	5747	6079	+
glimmer	7	6108	7160	+
glimmer	8	7202	7600	+
glimmer	9	7612	7965	+
glimmer	10	7977	8555	+
glimmer	11	8552	8947	+
glimmer	12	8955	9695	+
glimmer	13	9711	10133	+
glimmer	14	10115	10549	+
glimmer	15	10542	13103	+
glimmer	16	13100	13429	+
glimmer	17	13429	14127	+
glimmer	18	14276	14875	+
glimmer	19	14872	15444	+
glimmer	20	15505	18903	+
glimmer	21	18965	19585	+
glimmer	22	19650	20855	+
glimmer	23	21029	21973	+
glimmer	24	21973	22557	+
glimmer	25	23945	22686	-
glimmer	26	24009	24206	+
glimmer	27	25399	24509	-
glimmer	28	26973	25396	-
glimmer	29	28882	27812	-
glimmer	30	29285	29118	-
glimmer	31	29586	29374	-
glimmer	32	30395	29847	-
glimmer	33	30613	30392	-
glimmer	34	31024	30839	-
glimmer	35	31154	31005	-
glimmer	36	32028	31348	-
glimmer	37	32810	32025	-
glimmer	38	33232	32816	-
glimmer	39	33315	33187	-
glimmer	40	33463	33299	-
glimmer	41	33904	33536	-
glimmer	42	34209	34087	-
glimmer	43	34497	35036	+
glimmer	44	35360	35037	-
glimmer	45	36259	35825	-
glimmer	46	37114	36275	-
glimmer	47	37940	37227	-
glimmer	48	38041	38241	+
glimmer	49	38360	38653	+
glimmer	50	38686	39585	+
glimmer	51	39582	40283	+
glimmer	52	40280	40570	+
glimmer	53	40644	41084	+
glimmer	54	41081	41953	+
glimmer	55	42227	42439	+
glimmer	56	42429	43043	+
glimmer	57	43040	43246	+
glimmer	58	43224	43889	+
glimmer	59	43886	44509	+
glimmer	60	45186	45509	+
glimmer	61	45493	45969	+
glimmer	62	45966	46427	+
glimmer	63	46752	46459	-
glimmer	64	47452	47042	-
glimmer	65	47738	47944	+
glimmer	66	48303	48109	-
glimmer	67	48432	48319	-
MGA	1	191	736	+
MGA	2	711	2636	+
MGA	3	2633	2839	+
MGA	4	2836	4437	+
MGA	5	4418	5737	+
MGA	6	5747	6079	+
MGA	7	6141	7160	+
MGA	8	7163	7600	+
MGA	9	7612	7965	+
MGA	10	7977	8555	+
MGA	11	8552	8947	+
MGA	12	8976	9695	+
MGA	13	9711	10133	+
MGA	14	10115	10549	+
MGA	15	10542	13103	+
MGA	16	13100	13429	+
MGA	17	13429	14127	+
MGA	18	14276	14875	+
MGA	19	14773	15444	+
MGA	20	15505	18903	+
MGA	21	18965	19585	+
MGA	22	20147	20629	-
MGA	23	21029	21973	+
MGA	24	21973	22557	+
MGA	25	22686	23918	-
MGA	26	24009	24206	+
MGA	27	24509	25399	-
MGA	28	25396	26973	-
MGA	29	27812	28882	-
MGA	30	29118	29285	-
MGA	31	29374	29655	-
MGA	32	29847	30395	-
MGA	33	31005	31196	-
MGA	34	31348	32028	-
MGA	35	32025	32810	-
MGA	36	32816	33112	-
MGA	37	33299	33463	-
MGA	38	33536	33904	-
MGA	39	34087	34287	-
MGA	40	34554	35036	+
MGA	41	35037	35360	-
MGA	42	36275	37114	-
MGA	43	37227	37940	-
MGA	44	38041	38241	+
MGA	45	38360	38653	+
MGA	46	38686	39585	+
MGA	47	39582	40283	+
MGA	48	40280	40570	+
MGA	49	40644	41084	+
MGA	50	41138	41953	+
MGA	51	42429	43043	+
MGA	52	43040	43246	+
MGA	53	43224	43889	+
MGA	54	43886	44509	+
MGA	55	45186	45509	+
MGA	56	45493	45969	+
MGA	57	45966	46427	+
MGA	58	46459	46752	-
MGA	59	47042	47494	-
MGA	60	47738	47944	+
PHANOTATE	1	191	736	+
PHANOTATE	2	751	894	+
PHANOTATE	3	891	2636	+
PHANOTATE	4	2633	2839	+
PHANOTATE	5	2836	4437	+
PHANOTATE	6	4319	5737	+
PHANOTATE	7	5747	6079	+
PHANOTATE	8	6135	7160	+
PHANOTATE	9	7163	7600	+
PHANOTATE	10	7678	7965	+
PHANOTATE	11	7977	8555	+
PHANOTATE	12	8552	8947	+
PHANOTATE	13	8955	9695	+
PHANOTATE	14	9711	10133	+
PHANOTATE	15	10160	10549	+
PHANOTATE	16	10542	13103	+
PHANOTATE	17	13100	13429	+
PHANOTATE	18	13429	14127	+
PHANOTATE	19	14090	14257	+
PHANOTATE	20	14276	14875	+
PHANOTATE	21	14773	15444	+
PHANOTATE	22	15505	18903	+
PHANOTATE	23	18965	19585	+
PHANOTATE	24	19650	20855	+
PHANOTATE	25	20815	20964	+
PHANOTATE	26	21029	21973	+
PHANOTATE	27	21973	22557	+
PHANOTATE	28	23918	22686	-
PHANOTATE	29	24045	23947	-
PHANOTATE	30	24317	24108	-
PHANOTATE	31	25399	24509	-
PHANOTATE	32	26973	25396	-
PHANOTATE	33	27164	27009	-
PHANOTATE	34	27351	27157	-
PHANOTATE	35	27604	27335	-
PHANOTATE	36	27855	27766	-
PHANOTATE	37	28882	27812	-
PHANOTATE	38	29078	28860	-
PHANOTATE	39	29285	29118	-
PHANOTATE	40	29655	29374	-
